TEST_Name,Name,Data
1,x1,0.0674
1,y1,0.28804
1,ϴ1,0.19827
2,x2,-0.08838
2,y2,-0.41057
2,ϴ2,0.2955
3,x3,-0.14093
3,y3,-0.79697
3,ϴ3,0.10348
4,x4,-0.20932
4,y4,-1.55189
4,ϴ4,0.01862
5,x5,-0.18715
5,y5,-2.07113
5,ϴ5,-0.00478
6,x6,1.92532
6,y6,-1.1681
6,ϴ6,4.49353
7,x7,2.47093
7,y7,-1.1524
7,ϴ7,4.72596
8,x8,1.41333
8,y8,0.80203
8,ϴ8,2.92839
9,x9,1.3616
9,y9,1.29595
9,ϴ9,3.21017
10,x10,1.3661
10,y10,1.804
10,ϴ10,3.15599
11,x11,1.37019
11,y11,2.06168
11,ϴ11,3.15038
12,x12,1.35107
12,y12,2.68402
12,ϴ12,2.94082
13,x13,1.29576
13,y13,3.22701
13,ϴ13,3.40378
14,x14,1.32709
14,y14,3.48271
14,ϴ14,3.34341
15,x15,1.39679
15,y15,3.97223
15,ϴ15,3.43538
