TEST_Name,Name,Data
1,x1,0.04559
1,y1,0.24704
1,ϴ1,0.19478
2,x2,-0.08475
2,y2,-0.47992
2,ϴ2,0.31841
3,x3,-0.10747
3,y3,-0.78325
3,ϴ3,0.1161
4,x4,-0.17346
4,y4,-1.51186
4,ϴ4,0.05317
5,x5,-0.17901
5,y5,-2.03273
5,ϴ5,0.11037
6,x6,2.68142
6,y6,-2.12864
6,ϴ6,4.56294
7,x7,3.43278
7,y7,-2.15401
7,ϴ7,-1.48877
8,x8,3.37153
8,y8,0.77567
8,ϴ8,2.94454
9,x9,3.33723
9,y9,1.25704
9,ϴ9,3.14503
10,x10,3.3316
10,y10,1.75576
10,ϴ10,3.2897
11,x11,3.34127
11,y11,1.98568
11,ϴ11,3.22726
12,x12,3.34806
12,y12,2.74518
12,ϴ12,3.02852
13,x13,3.35839
13,y13,3.26286
13,ϴ13,3.12415
14,x14,3.34277
14,y14,3.51905
14,ϴ14,3.1193
15,x15,3.35665
15,y15,3.78373
15,ϴ15,3.28473
